cvae_reduced_99_length,cvae_reduced_99_coverage,cvae_reduced_95_length,cvae_reduced_95_coverage,cvae_reduced_90_length,cvae_reduced_90_coverage,cvae_reduced_85_length,cvae_reduced_85_coverage,cvae_reduced_rsquared,fnn_reduced_99_length,fnn_reduced_99_coverage,fnn_reduced_95_length,fnn_reduced_95_coverage,fnn_reduced_90_length,fnn_reduced_90_coverage,fnn_reduced_85_length,fnn_reduced_85_coverage,fnn_reduced_rsquared,rf_reduced_99_length,rf_reduced_99_coverage,rf_reduced_95_length,rf_reduced_95_coverage,rf_reduced_90_length,rf_reduced_90_coverage,rf_reduced_85_length,rf_reduced_85_coverage,rf_reduced_rsquared,gp_reduced_99_length,gp_reduced_99_coverage,gp_reduced_95_length,gp_reduced_95_coverage,gp_reduced_90_length,gp_reduced_90_coverage,gp_reduced_85_length,gp_reduced_85_coverage,gp_reduced_rsquared
0.219036,0.97479,0.165663,0.915966,0.138689,0.882353,0.121212,0.857143,0.006424,0.218862,0.97479,0.165531,0.915966,0.138579,0.882353,0.121115,0.848739,0.028623,0.218311,0.97479,0.165115,0.915966,0.13823,0.882353,0.12081,0.840336,0.013881,0.2301588,0.9831933,0.1751292,0.9243697,0.1469731,0.8823529,0.12862687,0.8739496,0.05176635
0.191694,0.97479,0.144984,0.907563,0.121377,0.890756,0.106081,0.823529,0.003578,0.192785,0.97479,0.145809,0.907563,0.122068,0.882353,0.106685,0.840336,0.073339,0.192339,0.97479,0.145471,0.907563,0.121785,0.882353,0.106438,8.57E-01,1.56E-02,0.202864,0.9831933,0.1543605,0.9243697,0.1295434,0.8907563,0.11337287,0.8739496,0.05016798
0.15392,0.957983,0.116414,0.89916,0.097459,0.87395,0.085177,0.840336,0.005306,0.157378,0.957983,0.119029,0.890756,0.099648,0.865546,0.087091,0.848739,0.000206,0.157459,0.957983,0.119091,0.907563,0.0997,0.865546,0.087136,0.857143,0.012562,0.1694473,0.9663866,0.1289335,0.9159664,0.1082044,0.8907563,0.09469757,0.8571429,0.05514992
0.20525,0.983193,0.155236,0.915966,0.12996,0.87395,0.113582,0.840336,0.018241,0.207619,0.983193,0.157028,0.915966,0.13146,0.89916,0.114894,0.848739,0.013883,0.206598,0.983193,0.156255,0.915966,0.130813,0.89916,0.114328,0.848739,0.009072,0.2121257,0.9831933,0.1614077,0.9243697,0.1354576,0.8907563,0.11854886,0.8655462,0.0433477
0.216429,0.97479,0.163691,0.89916,0.137038,0.882353,0.119769,0.840336,0.009063,0.217603,0.983193,0.164579,0.915966,0.137781,0.882353,0.120418,0.848739,0.081419,0.21747,0.97479,0.164479,0.915966,0.137698,0.882353,0.120345,0.831933,0.011146,0.2315519,0.9831933,0.1761892,0.9243697,0.1478627,0.8823529,0.1294054,0.8739496,0.05596422
0.215549,0.983193,0.163026,0.89916,0.136481,0.882353,0.119282,0.831933,0.015917,0.21593,0.983193,0.163314,0.915966,0.136722,0.882353,0.119493,0.848739,0.055386,0.215439,0.97479,0.162942,0.915966,0.136411,0.882353,0.119221,0.840336,0.014515,0.230432,0.9831933,0.1753371,0.9243697,0.1471476,0.8823529,0.12877956,0.8739496,0.05659127
0.224033,0.983193,0.169442,0.915966,0.141853,0.882353,0.123977,0.848739,6.80E-05,0.223177,0.983193,0.168795,0.915966,0.141311,0.882353,0.123503,0.840336,0.028622,0.222904,0.97479,0.168589,0.915966,0.141138,0.882353,0.123352,8.40E-01,6.78E-03,0.2368494,0.9831933,0.1802202,0.9243697,0.1512455,0.8823529,0.132366,0.8739496,0.05451123
0.217572,0.966387,0.164556,0.915966,0.137762,0.87395,0.120401,0.823529,0.000438,0.2208,0.97479,0.166997,0.907563,0.139806,0.882353,0.122188,0.840336,0.017084,0.220353,0.97479,0.166659,0.915966,0.139523,0.882353,0.12194,8.40E-01,8.15E-03,0.2347075,0.9831933,0.1785903,0.9243697,0.1498777,0.8823529,0.13116893,0.8739496,0.05598744
0.210012,0.97479,0.158838,0.915966,0.132975,0.87395,0.116218,0.848739,0.001963,0.211143,0.983193,0.159694,0.915966,0.133692,0.890756,0.116844,0.848739,0.045956,0.211294,0.97479,0.159808,0.915966,0.133787,0.882353,0.116927,0.840336,0.017155,0.2257963,0.9831933,0.1718098,0.9243697,0.1441873,0.8823529,0.12618884,0.8739496,0.05639811
0.263148,0.983193,0.199026,0.915966,0.16662,0.890756,0.145623,0.848739,0.013754,0.264706,0.983193,0.200204,0.915966,0.167606,0.882353,0.146485,0.848739,0.065214,0.263949,0.983193,0.199632,0.92437,0.167127,0.890756,0.146066,0.840336,0.013006,0.2780935,0.9831933,0.211603,0.9327731,0.1775829,0.8907563,0.15541573,0.8655462,0.05331765
0.264435,0.983193,0.199999,0.915966,0.167434,0.890756,0.146335,0.840336,0.001035,0.264079,0.983193,0.19973,0.915966,0.167209,0.882353,0.146138,0.848739,0.041758,0.263745,0.983193,0.199478,0.92437,0.166998,0.890756,0.145953,0.840336,0.011611,0.2778387,0.9831933,0.2114091,0.9327731,0.1774201,0.8991597,0.15527329,0.8655462,0.05370139
0.252752,0.983193,0.191163,0.907563,0.160037,0.865546,0.13987,0.840336,9.10E-05,0.25474,0.983193,0.192667,0.907563,0.161296,0.87395,0.14097,0.840336,0.031655,0.254259,0.983193,0.192303,0.92437,0.160991,0.890756,0.140703,0.840336,0.012337,0.2698626,0.9831933,0.2053401,0.9243697,0.1723268,0.8823529,0.15081577,0.8655462,0.05576992
0.233718,0.983193,0.176768,0.907563,0.147986,0.865546,0.129337,0.831933,0.012861,0.237608,0.97479,0.17971,0.915966,0.150448,0.882353,0.131489,0.840336,0.019951,0.237231,0.97479,0.179424,0.915966,0.150209,0.882353,0.13128,0.840336,0.012038,0.2533572,0.9831933,0.192781,0.9243697,0.1617869,0.8823529,0.14159155,0.8739496,0.05747662
